Entity,Year,Total government spending percapita (per capita USD PPP),Deaths,Over
Australia,2009,15670.84,1416.5229172277523,False
Australia,2010,15484.24,1439.2521296505804,False
Australia,2011,16146.34,1454.1948768292264,True
Australia,2012,15628.89,1449.7441762392318,False
Australia,2013,17186.98,1503.2848786179989,True
Australia,2014,17146.65,1619.7810088437282,True
Australia,2015,17482.539,1710.2448709238852,True
Austria,2009,22185.57,696.2526700054211,True
Austria,2010,22243.16,697.1891811124071,True
Austria,2011,22631.25,690.1565276485424,True
Austria,2012,23800.01,685.4478318111704,True
Austria,2013,24457.0,683.4903462615162,True
Austria,2014,25635.939,678.2296767180276,True
Austria,2015,25543.16,685.1953726357515,True
Austria,2016,25610.25,669.5281752143374,True
Belgium,2009,20614.381,683.7429078892661,True
Belgium,2010,21428.16,688.9598701358666,True
Belgium,2011,22602.609,717.2172481705009,True
Belgium,2012,23820.539,751.2534360278164,True
Belgium,2013,24437.199,766.350942780874,True
Belgium,2014,24794.971,766.3558131606269,True
Belgium,2015,24710.26,788.9630523125702,True
Belgium,2016,24966.949,782.2009882076625,True
Canada,2009,17221.779,2515.864969379858,True
Canada,2010,17614.789,2581.0788932914093,True
Canada,2011,17658.029,2643.2150391398422,True
Canada,2012,17626.449,2817.939934007904,True
Canada,2013,18083.59,2907.581511112363,True
Canada,2014,17817.82,3098.4567773057793,True
Canada,2015,18166.869,3252.9237751122196,True
Canada,2016,18685.881,3301.350788577391,True
Colombia,2009,3551.1399,274.93545200574266,False
Colombia,2010,3680.4399,283.8017049391201,False
Colombia,2011,3830.3401,287.7835908229498,False
Colombia,2012,4240.1899,296.83938057412723,False
Colombia,2013,4669.3599,297.55258544520416,False
Colombia,2014,5023.54,308.14453382527785,False
Colombia,2015,5170.23,320.48324477966645,False
Costa Rica,2009,4334.0,109.69072717127506,False
Costa Rica,2010,4970.6602,122.33635894859489,False
Costa Rica,2011,5234.9702,120.20900619100087,False
Costa Rica,2012,4463.54,120.02324822026128,False
Costa Rica,2013,4782.4702,123.18270742696104,False
Costa Rica,2014,5025.5801,127.56712266919955,False
Czech Republic,2009,11970.02,566.1124507735004,False
Czech Republic,2010,11836.15,564.7112688230925,False
Czech Republic,2011,12392.2,572.1678655676199,False
Czech Republic,2012,12921.97,578.7133132816261,False
Czech Republic,2013,12992.09,580.2070312147669,False
Czech Republic,2014,13667.39,570.6651486354313,False
Czech Republic,2015,14201.91,585.7241015334871,False
Czech Republic,2016,13967.96,593.8092339436737,False
Denmark,2009,22830.289,1099.5546161349948,True
Denmark,2010,24419.391,1079.8465546750124,True
Denmark,2011,25059.1,1037.0711710876103,True
Denmark,2012,25968.76,1010.22152059159,True
Denmark,2013,26092.08,1005.2331073996746,True
Denmark,2014,26449.15,984.5995225776601,True
Denmark,2015,26860.859,980.7634401309024,True
Denmark,2016,26799.051,1024.0173694455607,True
Estonia,2009,9443.0996,378.74886423026635,False
Estonia,2010,8748.2998,349.49037295059594,False
Estonia,2011,9169.8301,363.9873975291523,False
Estonia,2012,10208.21,371.4775742019406,False
Estonia,2013,10553.95,329.39775096225844,False
Estonia,2014,10964.5,329.10139201808477,False
Estonia,2015,11702.99,308.9936754941806,False
Estonia,2016,12024.29,311.96952907311737,False
Finland,2009,20736.07,1031.1122765637276,True
Finland,2010,21251.369,1001.7833215456537,True
Finland,2011,22125.369,967.1515536935759,True
Finland,2012,22829.91,934.3336916494045,True
Finland,2013,23744.189,912.0534725347052,True
Finland,2014,24095.91,870.149471197203,True
Finland,2015,24083.9,842.7638995263135,True
Finland,2016,24193.561,866.5424931423903,True
France,2009,19750.131,5357.514383744464,True
France,2010,20351.811,5469.917256698229,True
France,2011,20961.49,5579.080773066629,True
France,2012,21408.76,5586.840069618941,True
France,2013,22524.49,5575.55671239936,True
France,2014,23004.09,5499.838315580221,True
France,2015,23387.42,5578.551085044148,True
France,2016,23696.85,5552.790249866087,True
Germany,2009,17952.51,7402.092267753992,True
Germany,2010,18899.02,7440.762902207574,True
Germany,2011,19087.82,7422.447437329526,True
Germany,2012,19296.869,7438.882665911575,True
Germany,2013,20224.91,7698.430212992516,True
Germany,2014,20893.41,7642.294179995158,True
Germany,2015,21110.221,8073.713750798874,True
Germany,2016,21729.961,8444.275308031749,True
Greece,2009,16437.811,358.4130678641159,True
Greece,2010,14800.13,324.5609991236317,False
Greece,2011,14189.48,301.0682343032214,False
Greece,2012,14007.03,282.21023777639317,False
Greece,2013,16248.15,250.88684561682817,True
Greece,2014,13375.41,239.82480234868785,False
Greece,2015,14288.74,249.24024720090762,False
Greece,2016,13128.37,240.8049258635912,False
Hungary,2009,10411.35,660.2572372322603,False
Hungary,2010,10623.81,629.8910440175339,False
Hungary,2011,11294.5,594.267447847785,False
Hungary,2012,11166.69,577.9337500255331,False
Hungary,2013,12021.57,554.9008701568406,False
Hungary,2014,12496.37,559.3511852908722,False
Hungary,2015,13231.28,594.4310497255306,False
Hungary,2016,13099.94,576.9647094418591,False
Iceland,2009,19831.98,16.01384021595686,True
